fold,num_heads,out_channels,learning_rate,weight_decay,best_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
1,1,8,0.01,0,44,0.46118643321096897,0.3809695355594158,0.7851239669421488,0.9032258064516129,0.7851239669421488,0.9036354326676908
2,1,8,0.01,0,17,0.4483200232498348,0.3396172598004341,0.8264462809917356,0.8387096774193549,0.8262280811634092,0.8380269670592251
3,1,8,0.01,0,25,0.4140231595374644,0.3631681725382805,0.8278688524590164,0.8333333333333334,0.8280449877488121,0.8241758241758242
4,1,8,0.01,0,7,0.5204168632626534,0.5839616805315018,0.7868852459016393,0.6666666666666666,0.7736290007806401,0.662037037037037
5,1,8,0.01,0,8,0.5511163212358952,0.5053553208708763,0.7704918032786885,0.7666666666666667,0.765022671782351,0.7609087348217783
1,2,8,0.01,0,40,0.36995507776737213,0.38404371589422226,0.8347107438016529,0.7741935483870968,0.83383105308239,0.7727288578901482
2,2,8,0.01,0,17,0.4137388952076435,0.3739587217569351,0.8429752066115702,0.8387096774193549,0.8417551227468583,0.8380269670592251
3,2,8,0.01,0,64,0.37459007650613785,0.32856034860014915,0.8442622950819673,0.8,0.8425156026060492,0.8
4,2,8,0.01,0,4,0.57695815525949,0.6100230067968369,0.7540983606557377,0.6666666666666666,0.7336315473810475,0.662037037037037
5,2,8,0.01,0,4,0.5721807796508074,0.5698227286338806,0.7540983606557377,0.6333333333333333,0.7518442622950819,0.6312380952380953
1,3,8,0.01,0,29,0.3765689115971327,0.376538909971714,0.8099173553719008,0.8064516129032258,0.8092004130788285,0.8076714556790457
2,3,8,0.01,0,17,0.40909667732194066,0.393452912569046,0.8347107438016529,0.8387096774193549,0.8337329763706204,0.8380269670592251
3,3,8,0.01,0,55,0.34811296314001083,0.2742699459195137,0.8360655737704918,0.9,0.8360655737704918,0.8975323149236194
4,3,8,0.01,0,15,0.3928976599127054,0.5153177753090858,0.8442622950819673,0.7666666666666667,0.843130088544794,0.7653333333333333
5,3,8,0.01,0,4,0.5363270621746778,0.557799682021141,0.7540983606557377,0.7333333333333333,0.7507985902647607,0.7231259968102073
1,1,8,0.001,0,199,0.44847134966403246,0.40439093858003616,0.7355371900826446,0.8064516129032258,0.7320889788422257,0.8076714556790457
2,1,8,0.001,0,113,0.4651278033852577,0.5075582340359688,0.7603305785123967,0.7419354838709677,0.756314635467062,0.7391783843396746
3,1,8,0.001,0,176,0.4532223530113697,0.38998322933912277,0.8114754098360656,0.8,0.807519789682149,0.7972222222222223
4,1,8,0.001,0,41,0.5379799082875252,0.6221900656819344,0.7786885245901639,0.6333333333333333,0.7712971695613933,0.6312380952380953
5,1,8,0.001,0,155,0.46400553407147527,0.4972247779369354,0.7704918032786885,0.7666666666666667,0.765022671782351,0.7609087348217783
1,2,8,0.001,0,195,0.4088781625032425,0.4360790550708771,0.8181818181818182,0.8709677419354839,0.8172141583906289,0.8689869835880022
2,2,8,0.001,0,126,0.5014869552105665,0.44178109616041183,0.7355371900826446,0.8387096774193549,0.7348334375072343,0.8380269670592251
3,2,8,0.001,0,199,0.4108768682926893,0.3497691825032234,0.8114754098360656,0.9,0.8085005846178255,0.8975323149236194
4,2,8,0.001,0,74,0.46462482772767544,0.5121923461556435,0.8442622950819673,0.7666666666666667,0.8425156026060492,0.7653333333333333
5,2,8,0.001,0,40,0.5512685310095549,0.6045490428805351,0.7622950819672131,0.6333333333333333,0.7605669772525803,0.6312380952380953
1,3,8,0.001,0,158,0.4290100932121277,0.3605027422308922,0.8512396694214877,0.7741935483870968,0.8493000505987519,0.7727288578901482
2,3,8,0.001,0,165,0.43336113821715117,0.44655491411685944,0.8347107438016529,0.7741935483870968,0.8342708984420215,0.7732377538829153
3,3,8,0.001,0,200,0.3843244528397918,0.3031449727714062,0.8360655737704918,0.9,0.8338657268431738,0.8975323149236194
4,3,8,0.001,0,76,0.38392810244113207,0.5452870056033134,0.8524590163934426,0.7,0.8497590828533452,0.6982857142857143
5,3,8,0.001,0,60,0.4781100647523999,0.5329157263040543,0.7704918032786885,0.7666666666666667,0.7662919066607592,0.7609087348217783
